court,year,sum
nsca,1935,0.000279047636953507
nsca,1936,9.36368673286541e-05
nsca,1937,3.40194106619111e-05
nsca,1938,1.73996955170843e-05
nsca,1939,0.000522313345865894
nsca,1940,0.000805794387074155
nsca,1941,0.000467154552579972
nsca,1942,3.96794598855419e-05
nsca,1943,0.000104906505164685
nsca,1944,2.35813682585148e-05
nsca,1945,5.78415142334843e-07
nsca,1946,3.44533761026483e-06
nsca,1947,0.000199997009385203
nsca,1948,0.000507478494242421
nsca,1949,0.00017475700415418
nsca,1950,0.000152108973994207
nsca,1951,0.000558423367720147
nsca,1952,0.000115531305337474
nsca,1953,0.000284725717580295
nsca,1954,4.40116532739665e-05
nsca,1955,0.00022312339833312
nsca,1956,0.000147939776679283
nsca,1957,2.67287364223544e-05
nsca,1958,0.000535140189720345
nsca,1959,0.000234171162697208
nsca,1960,1.5409209479708e-05
nsca,1961,0.000165779708798136
nsca,1962,0.000452921181461557
nsca,1963,0.000393445888749528
nsca,1964,0.000386669456803537
nsca,1965,2.86015920332058e-05
nsca,1966,0.000419332143165436
nsca,1967,0.00067073427362352
nsca,1968,0.000220514829130905
nsca,1969,0.00123013761859759
nsca,1970,0.000818401243202591
nsca,1971,0.00132035430685146
nsca,1972,0.00079127008841198
nsca,1973,0.0022342459744269
nsca,1974,0.00530160440274623
nsca,1975,0.00326968726942561
nsca,1976,0.00300751957352163
nsca,1977,0.00172567478150916
nsca,1978,0.00388364779565097
nsca,1979,0.00508998938156278
nsca,1980,0.00558187835063132
nsca,1981,0.00739190145395571
nsca,1982,0.00663119029621711
nsca,1983,0.0136843970418355
nsca,1984,0.00596730824002739
nsca,1985,0.00980919633331554
nsca,1986,0.0120287987093682
nsca,1987,0.0262263093760954
nsca,1988,0.0175873831172438
nsca,1989,0.0441566168843762
nsca,1990,0.0388661512890173
nsca,1991,0.0675890356124774
nsca,1992,0.0548616810943746
nsca,1993,0.0590556529278176
nsca,1994,0.0764925502590209
nsca,1995,0.0847238988621428
nsca,1996,0.0672679691433013
nsca,1997,0.0622791525083641
nsca,1998,0.0738501420532067
nsca,1999,0.0778693714704215
nsca,2000,0.0766042946709953
nsca,2001,0.0940866790416767
nsca,2002,0.0789315274049217
nsca,2003,0.0800438572944977
nsca,2004,0.149945258389765
nsca,2005,0.165485324050826
nsca,2006,0.191716538619177
nsca,2007,0.140807962043499
nsca,2008,0.158285284613258
nsca,2009,0.197051695921639
nsca,2010,0.118288538869831
nsca,2011,0.172704391265122
nsca,2012,0.166115064770374
nsca,2013,0.13513720012067
nsca,2014,0.12966956662725
nsca,2015,0.170972990186594
nsca,2016,0.141874244944048
nsca,2017,0.122173529363743
nsca,2018,0.0866860252283962
nsca,2019,0.12922048961944
nsca,2020,0.110175157627256
nsca,2021,0.0073571535818276
onca,1883,2.86944383296597e-39
onca,1884,4.61512465020617e-07
onca,1885,6.75884673942521e-05
onca,1886,6.90891592492736e-07
onca,1887,7.60831566902325e-08
onca,1888,3.09956704798001e-07
onca,1889,7.04777751933838e-05
onca,1890,2.0243471307871e-05
onca,1891,6.32422869306957e-06
onca,1892,1.87469300992587e-06
onca,1893,5.40932618811303e-06
onca,1894,3.1102017874155e-06
onca,1895,7.29114490805055e-05
onca,1896,1.11353304878557e-05
onca,1897,9.08023982207967e-07
onca,1898,6.93193613551377e-05
onca,1899,1.92450409019432e-05
onca,1900,0.000413581452316859
onca,1901,0.000163683289388113
onca,1902,0.00061765496553787
onca,1903,0.000427771596453865
onca,1904,9.42475717752687e-05
onca,1905,0.00121504783673856
onca,1906,0.000118373448147466
onca,1907,0.000119718149487923
onca,1908,0.000144335223207752
onca,1909,0.000133575354347835
onca,1910,0.000420413450781483
onca,1911,0.000180026837998536
onca,1912,0.000152093677639765
onca,1913,0.00119230360137097
onca,1914,0.000633750564545657
onca,1915,0.0011329546455224
onca,1916,0.00130537938862389
onca,1917,0.00171570555034937
onca,1918,0.00112279852973822
onca,1919,0.000807474549688264
onca,1920,0.00163403427316755
onca,1921,0.00211337207441307
onca,1922,0.000491346334669606
onca,1923,0.00131508957298207
onca,1924,0.00204777531947404
onca,1925,0.00166023093343219
onca,1926,0.00136606910327025
onca,1927,0.000552851881914762
onca,1928,0.0025524306323832
onca,1929,0.00099759988307285
onca,1930,0.00251694786182809
onca,1931,0.00244249793299303
onca,1932,0.000828842383813667
onca,1933,0.00127339578077759
onca,1934,0.00212147194480798
onca,1935,0.000726901336959421
onca,1936,0.00102989983567055
onca,1937,0.00321336293629172
onca,1938,0.00215847768290799
onca,1939,0.00290011514356364
onca,1940,0.00117987039445666
onca,1941,0.00277389667152073
onca,1942,0.00118305474213035
onca,1943,0.00298247566673754
onca,1944,0.00167776808333104
onca,1945,0.00216347944763602
onca,1946,0.00366813858268731
onca,1947,0.00545682172658653
onca,1948,0.00247911412587304
onca,1949,0.00343861521951004
onca,1950,0.00153464415201967
onca,1951,0.00165071947333329
onca,1952,0.00310194522172288
onca,1953,0.0036946080817681
onca,1954,0.00421451338423275
onca,1955,0.00409189082572327
onca,1956,0.00773900041783562
onca,1957,0.00748210204737373
onca,1958,0.00432646202369684
onca,1959,0.00638249295637883
onca,1960,0.00269718891730649
onca,1961,0.00497623360386164
onca,1962,0.0035830750807926
onca,1963,0.00357398600477853
onca,1964,0.00434733483675519
onca,1965,0.00656376523550912
onca,1966,0.010454027433292
onca,1967,0.00788674610577349
onca,1968,0.00538336393314638
onca,1969,0.0121249635113274
onca,1970,0.0106792043190376
onca,1971,0.0133638638321058
onca,1972,0.0114662522836716
onca,1973,0.0156816404621392
onca,1974,0.0259306845938506
onca,1975,0.0325873492974824
onca,1976,0.0252889087672388
onca,1977,0.0320695914398936
onca,1978,0.0278570280606296
onca,1979,0.0304375994299175
onca,1980,0.0339569531498458
onca,1981,0.0418907778428289
onca,1982,0.0419763558235379
onca,1983,0.0766803129253017
onca,1984,0.0949119437039583
onca,1985,0.11563892340634
onca,1986,0.137738821001375
onca,1987,0.180762908256451
onca,1988,0.148961557928506
onca,1989,0.0972951113200305
onca,1990,0.108651175754939
onca,1991,0.126144357437584
onca,1992,0.215822579211531
onca,1993,0.161939956354513
onca,1994,0.166620977477705
onca,1995,0.164358929311157
onca,1996,0.203322739382036
onca,1997,0.282012591484821
